#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.4067  -12.0346  -10.7651  -10.7651  -10.3593   -6.5365   -5.9914   -5.9914   -3.7920   -3.4264   -3.0194   -3.0194   -2.4052   -2.4052   -2.2110   -1.5167   -0.4286    1.8653    1.9923    2.6069    2.6069    3.0985    3.0985    3.9183    4.0621    4.5985    5.1963    5.7744    5.7744    7.4493    7.5483    8.0010    8.1042    8.1042    8.1142    8.9985    9.4983    9.4983    9.5098   10.0727   11.2286   11.2286   11.6896   12.5758   12.7623   12.7623   13.6918   13.6933   13.6933   14.3467   14.3467   14.9565   15.1231   15.1291   15.1291   15.7269   15.8102   16.2801   16.2801   17.0397   17.1622   17.4591   17.5147   17.7412   17.7412
  0.4473  -11.9437  -10.8222  -10.8222  -10.3953   -6.4910   -5.9110   -5.9110   -3.8427   -3.7286   -3.0722   -3.0722   -2.2906   -2.2906   -2.1248   -1.7349   -0.4973    1.9431    2.0941    2.8458    2.8458    3.3064    3.3064    4.0343    4.1683    5.0108    5.3108    5.3797    5.3797    7.2793    7.2956    7.8089    7.8710    7.8710    7.9117    9.1431    9.3223    9.3223    9.7831    9.8018   11.0273   11.0273   11.8200   12.7256   12.7256   12.8958   13.5400   13.5400   13.7759   14.1444   14.1444   14.6879   15.3716   15.3716   15.5652   15.6511   16.1301   16.3914   16.3914   16.7522   17.2794   17.3589   17.7888   17.7888   18.0090
  0.4880  -11.8462  -10.8747  -10.8747  -10.4421   -6.4364   -5.8416   -5.8416   -4.0187   -3.8642   -3.1215   -3.1215   -2.1552   -2.1552   -2.0326   -1.9533   -0.5738    2.0237    2.1870    3.0725    3.0725    3.4871    3.4871    4.1658    4.2850    5.0658    5.0658    5.3564    5.3753    7.0157    7.1954    7.5525    7.6200    7.6200    7.8505    9.1427    9.1427    9.3532    9.5429   10.0515   10.8209   10.8209   11.9677   12.6524   12.6524   13.2509   13.3963   13.3963   13.7721   13.9901   13.9901   14.4051   15.4705   15.6477   15.6477   16.0702   16.1908   16.4452   16.5103   16.5103   17.4271   17.5106   17.8429   17.8429   18.4685
  0.5287  -11.7429  -10.9219  -10.9219  -10.5004   -6.3704   -5.7838   -5.7838   -4.2959   -3.8567   -3.1663   -3.1663   -2.1693   -2.0029   -2.0029   -1.9348   -0.6578    2.1053    2.2706    3.2191    3.2191    3.6556    3.6556    4.3122    4.4122    4.8846    4.8846    5.3990    5.5809    6.7587    7.0493    7.3508    7.3508    7.4988    7.8172    8.9614    8.9614    9.2974    9.6164   10.3115   10.6171   10.6171   12.1341   12.5551   12.5551   13.2701   13.2701   13.6273   13.6801   13.8857   13.8857   14.1210   15.4198   15.4313   15.9452   15.9452   16.6162   16.6162   16.7396   16.7550   17.3337   17.7352   17.9238   17.9238   18.7815
  0.5693  -11.6347  -10.9629  -10.9629  -10.5702   -6.2910   -5.7374   -5.7374   -4.5593   -3.8216   -3.2055   -3.2055   -2.3805   -1.8401   -1.8401   -1.8323   -0.7488    2.1858    2.3434    3.1876    3.1876    3.8796    3.8796    4.4728    4.5501    4.8653    4.8653    5.3959    5.6626    6.5094    6.7997    7.0642    7.0642    7.7266    7.8116    8.7804    8.7804    9.0664    9.9045   10.4257   10.4257   10.5680   12.3212   12.4523   12.4523   13.1596   13.1596   13.5201   13.8226   13.8226   13.8424   13.9596   14.9081   15.3503   16.2568   16.2568   16.6982   16.6982   17.0595   17.1638   17.2926   17.9551   18.0374   18.0374   18.7914
  0.6100  -11.5225  -10.9971  -10.9971  -10.6511   -6.1963   -5.7014   -5.7014   -4.8082   -3.7606   -3.2385   -3.2385   -2.5851   -1.7257   -1.6759   -1.6759   -0.8461    2.2628    2.4033    3.0213    3.0213    4.1592    4.1592    4.6467    4.6987    4.9625    4.9625    5.3811    5.6429    6.2685    6.5293    6.7623    6.7623    7.8330    8.1103    8.6035    8.6035    8.8510   10.1704   10.2567   10.2567   10.8368   12.3587   12.3587   12.5314   13.0649   13.0649   13.3146   13.5757   13.7876   13.7876   13.9149   14.8466   15.1873   16.5720   16.5720   16.7598   16.7598   17.0493   17.3594   17.8391   18.1719   18.1764   18.1764   18.6011
  0.6507  -11.4075  -11.0242  -11.0242  -10.7420   -6.0849   -5.6750   -5.6750   -5.0417   -3.6757   -3.2647   -3.2647   -2.7809   -1.6160   -1.5222   -1.5222   -0.9486    2.3330    2.4480    2.8177    2.8177    4.4651    4.4651    4.8323    4.8580    5.1058    5.1058    5.3687    5.5758    6.0367    6.2622    6.4481    6.4481    7.8805    8.4385    8.4385    8.5677    8.6525   10.1189   10.1189   10.3497   11.1400   12.2822   12.2822   12.7655   12.9887   12.9887   13.0755   13.3313   13.5309   13.7694   13.7694   14.9031   15.2372   16.7644   16.7644   16.9242   16.9242   17.0560   17.6550   18.3220   18.3236   18.3487   18.3517   18.3882
  0.6913  -11.2911  -11.0438  -11.0438  -10.8415   -5.9557   -5.6570   -5.6570   -5.2592   -3.5691   -3.2838   -3.2838   -2.9664   -1.5042   -1.3943   -1.3943   -1.0555    2.3934    2.4750    2.6369    2.6369    4.7838    4.7838    5.0258    5.0281    5.2444    5.2444    5.3722    5.4953    5.8145    6.0049    6.1256    6.1256    7.9532    8.2991    8.2991    8.4719    9.0503   10.0178   10.0178   10.3834   11.4801   12.2264   12.2264   12.8056   12.9330   12.9330   12.9830   13.1227   13.2391   13.7605   13.7605   14.5362   15.7320   16.7924   16.7924   17.1650   17.2240   17.2240   17.9296   17.9468   18.0881   18.4447   18.4450   18.5981
  0.7320  -11.1745  -11.0556  -11.0556  -10.9480   -5.8085   -5.6465   -5.6465   -5.4598   -3.4429   -3.2953   -3.2953   -3.1397   -1.3911   -1.3083   -1.3083   -1.1656    2.4403    2.4828    2.5142    2.5142    5.1053    5.1053    5.2089    5.2114    5.3443    5.3443    5.4139    5.4169    5.6023    5.7623    5.8013    5.8013    8.0498    8.2036    8.2036    8.3104    9.5206    9.9565    9.9565   10.2411   11.8349   12.1927   12.1927   12.5067   12.8992   12.8992   12.9220   12.9664   13.4111   13.7565   13.7565   14.1403   16.2618   16.8028   16.8028   17.2724   17.4575   17.4789   17.4789   17.8304   18.2332   18.5058   18.5088   18.7339
  0.7727  -11.0596  -11.0596  -11.0596  -11.0596   -5.6431   -5.6431   -5.6431   -5.6431   -3.2991   -3.2991   -3.2991   -3.2991   -1.2779   -1.2779   -1.2779   -1.2779    2.4709    2.4709    2.4709    2.4709    5.3379    5.3379    5.3379    5.3379    5.4004    5.4004    5.4004    5.4004    5.5480    5.5480    5.5480    5.5480    8.1693    8.1693    8.1693    8.1693    9.9360    9.9360    9.9360    9.9360   12.1814   12.1814   12.1814   12.1814   12.8879   12.8879   12.8879   12.8879   13.7554   13.7554   13.7554   13.7554   16.8058   16.8058   16.8058   16.8058   17.5903   17.5903   17.5903   17.5903   18.5072   18.5072   18.5072   18.5077
